Ano;Distrito;Inscritos;Votantes;Brancos;Nulos;Partido;Votos;Mandatos;Previsão (%);Abstenção;Inscritos_totais;abstenção_totais;Cor1;Visão
2025;Lisboa;1913096;1270409;31230;16867;PS;334621;14;0,2634;0,3108;10850615;0,44;#FFC0CB;Histórico
2025;Lisboa;1913096;1270409;31230;16867;AD;303401;12;0,2388;0,3108;10850615;0,44;#FFA500;Histórico
2025;Lisboa;1913096;1270409;31230;16867;CDU;134682;5;0,106;0,3108;10850615;0,44;#006699;Histórico
2025;Lisboa;1913096;1270409;31230;16867;CH;122397;5;0,0963;0,3108;10850615;0,44;#201f58;Histórico
2025;Lisboa;1913096;1270409;31230;16867;BE;117100;5;0,0922;0,3108;10850615;0,44;#db0812;Histórico
2025;Lisboa;1913096;1270409;31230;16867;IL;87008;3;0,0685;0,3108;10850615;0,44;#00aeee;Histórico
2025;Lisboa;1913096;1270409;31230;16867;PAN;63791;2;0,0502;0,3108;10850615;0,44;#518196;Histórico
2025;Lisboa;1913096;1270409;31230;16867;L;57818;2;0,0455;0,3108;10850615;0,44;#000000;Histórico
2025;Porto;1591445;1009421;24736;15083;AD;321217;14;0,3182;0,3407;10850615;0,44;#FFA500;Histórico
2025;Porto;1591445;1009421;24736;15083;PS;318330;13;0,3154;0,3407;10850615;0,44;#FFC0CB;Histórico
2025;Porto;1591445;1009421;24736;15083;CH;90716;3;0,0899;0,3407;10850615;0,44;#201f58;Histórico
2025;Porto;1591445;1009421;24736;15083;BE;81644;3;0,0809;0,3407;10850615;0,44;#db0812;Histórico
2025;Porto;1591445;1009421;24736;15083;CDU;70408;3;0,0698;0,3407;10850615;0,44;#006699;Histórico
2025;Porto;1591445;1009421;24736;15083;IL;48863;2;0,0484;0,3407;10850615;0,44;#00aeee;Histórico
2025;Porto;1591445;1009421;24736;15083;L;27009;1;0,0268;0,3407;10850615;0,44;#000000;Histórico
2025;Porto;1591445;1009421;24736;15083;PAN;24019;1;0,0238;0,3407;10850615;0,44;#518196;Histórico
2025;Açores;230305;100322;3926;1554;AD;35660;3;0,3555;0,5406;10850615;0,44;#FFA500;Histórico
2025;Açores;230305;100322;3926;1554;PS;35506;2;0,3539;0,5406;10850615;0,44;#FFC0CB;Histórico
2025;Açores;230305;100322;3926;1554;CH;8927;0;0,089;0,5406;10850615;0,44;#201f58;Histórico
2025;Açores;230305;100322;3926;1554;BE;4839;0;0,0482;0,5406;10850615;0,44;#db0812;Histórico
2025;Açores;230305;100322;3926;1554;IL;3280;0;0,0327;0,5406;10850615;0,44;#00aeee;Histórico
2025;Açores;230305;100322;3926;1554;CDU;3040;0;0,0303;0,5406;10850615;0,44;#006699;Histórico
2025;Açores;230305;100322;3926;1554;L;3030;0;0,0302;0,5406;10850615;0,44;#000000;Histórico
2025;Açores;230305;100322;3926;1554;PAN;3001;0;0,0299;0,5406;10850615;0,44;#518196;Histórico
2025;Aveiro;642080;387983;11055;6243;AD;129924;7;0,3349;0,3688;10850615;0,44;#FFA500;Histórico
2025;Aveiro;642080;387983;11055;6243;PS;105555;5;0,2721;0,3688;10850615;0,44;#FFC0CB;Histórico
2025;Aveiro;642080;387983;11055;6243;CH;43275;2;0,1115;0,3688;10850615;0,44;#201f58;Histórico
2025;Aveiro;642080;387983;11055;6243;BE;42017;2;0,1083;0,3688;10850615;0,44;#db0812;Histórico
2025;Aveiro;642080;387983;11055;6243;IL;15628;0;0,0403;0,3688;10850615;0,44;#00aeee;Histórico
2025;Aveiro;642080;387983;11055;6243;CDU;15595;0;0,0402;0,3688;10850615;0,44;#006699;Histórico
2025;Aveiro;642080;387983;11055;6243;L;11191;0;0,0288;0,3688;10850615;0,44;#000000;Histórico
2025;Aveiro;642080;387983;11055;6243;PAN;11191;0;0,0288;0,3688;10850615;0,44;#518196;Histórico
2025;Beja;118328;73550;1695;1124;PS;23386;1;0,318;0,3546;10850615;0,44;#FFC0CB;Histórico
2025;Beja;118328;73550;1695;1124;CDU;13023;1;0,1771;0,3546;10850615;0,44;#006699;Histórico
2025;Beja;118328;73550;1695;1124;CH;11924;1;0,1621;0,3546;10850615;0,44;#201f58;Histórico
2025;Beja;118328;73550;1695;1124;AD;10777;0;0,1465;0,3546;10850615;0,44;#FFA500;Histórico
2025;Beja;118328;73550;1695;1124;BE;5599;0;0,0761;0,3546;10850615;0,44;#db0812;Histórico
2025;Beja;118328;73550;1695;1124;L;1948;0;0,0265;0,3546;10850615;0,44;#000000;Histórico
2025;Beja;118328;73550;1695;1124;IL;1819;0;0,0247;0,3546;10850615;0,44;#00aeee;Histórico
2025;Beja;118328;73550;1695;1124;PAN;1819;0;0,0247;0,3546;10850615;0,44;#518196;Histórico
