Ano|Inscritos|Votantes|Brancos|Nulos|Partido|Votos|Mandatos|Percentual|Abstenção
2019|10777258|5237484|131302|123573|AD|1683766|84|0,32|51,40244392
2019|10777258|5237484|131302|123573|BE|498549|19|0,1|51,40244392
2019|10777258|5237484|131302|123573|CDU|332018|12|0,06|51,40244392
2019|10777258|5237484|131302|123573|CH|67502|1|0,01|51,40244392
2019|10777258|5237484|131302|123573|IL|67443|1|0,01|51,40244392
2019|10777258|5237484|131302|123573|L|56940|1|0,01|51,40244392
2019|10777258|5237484|131302|123573|PAN|173931|4|0,03|51,40244392
2019|10777258|5237484|131302|123573|PS|1903687|108|0,36|51,40244392
2019|10777258|5237484|131302|123573|Outros|198773|0|0,04|51,40244392
2022|10813246|5564539|63103|83721|AD|1707822|74|0,31|48,53960596
2022|10813246|5564539|63103|83721|BE|244603|5|0,04|48,53960596
2022|10813246|5564539|63103|83721|CDU|238920|6|0,04|48,53960596
2022|10813246|5564539|63103|83721|CH|399659|12|0,07|48,53960596
2022|10813246|5564539|63103|83721|IL|273687|8|0,05|48,53960596
2022|10813246|5564539|63103|83721|L|71232|1|0,01|48,53960596
2022|10813246|5564539|63103|83721|PAN|88152|1|0,02|48,53960596
2022|10813246|5564539|63103|83721|PS|2302601|120|0,41|48,53960596
2022|10813246|5564539|63103|83721|Outros|91039|0|0,02|48,53960596
2024|10813643|6476952|89847|192396|AD|1867442|80|0,29|40,10388543
2024|10813643|6476952|89847|192396|BE|282314|5|0,04|40,10388543
2024|10813643|6476952|89847|192396|CDU|205551|4|0,03|40,10388543
2024|10813643|6476952|89847|192396|CH|1169781|50|0,18|40,10388543
2024|10813643|6476952|89847|192396|IL|319877|8|0,05|40,10388543
2024|10813643|6476952|89847|192396|L|204875|4|0,03|40,10388543
2024|10813643|6476952|89847|192396|PAN|126125|1|0,02|40,10388543
2024|10813643|6476952|89847|192396|PS|1812443|78|0,28|40,10388543
2024|10813643|6476952|89847|192396|Outros|206301|0|0,03|40,10388543
2025|10813643|6476952|89847|192396|AD|1867442|80|0,319|0,401038854
2025|10813643|6476952|89847|192396|BE|282314|5|0,0036|0,401038854
2025|10813643|6476952|89847|192396|CDU|205551|4|0,0255|0,401038854
2025|10813643|6476952|89847|192396|CH|1169781|50|0,18|0,401038854
2025|10813643|6476952|89847|192396|IL|319877|8|0,05|0,401038854
2025|10813643|6476952|89847|192396|L|204875|4|0,036|0,401038854
2025|10813643|6476952|89847|192396|PAN|126125|1|0,0014|0,401038854
2025|10813643|6476952|89847|192396|PS|1812443|78|0,2828|0,401038854
2025|10813246|5564539|63103|83721|Outros|91039|0|0,02|48,53960596
